City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao gabriel da cachoeira,-0.1303,-67.0892,24.28,92,93,0.3,BR,1706325621
1,villa paula de sarmiento,-31.4933,-68.5384,30.7,28,99,10.42,AR,1706325623
2,faya-largeau,17.9257,19.1043,14.18,36,94,9.02,TD,1706325625
3,capinota,-17.7167,-66.2333,17.67,73,77,3.22,BO,1706325626
4,uturoa,-16.7333,-151.4333,28.38,74,50,3.45,PF,1706325627
5,tazacorte,28.629,-17.9293,22.3,18,0,3.58,ES,1706325627
6,grytviken,-54.2811,-36.5092,2.84,96,100,2.15,GS,1706325628
7,bilibino,68.0546,166.4372,-40.14,100,100,0.44,RU,1706325628
8,troitsko-pechorsk,62.7084,56.1964,-7.95,96,100,2.68,RU,1706325629
9,juegang,32.3174,121.1855,5.54,43,0,2.4,CN,1706325397
10,remontnoye,46.5614,43.6501,-0.74,94,100,2.86,RU,1706325629
11,ushuaia,-54.8,-68.3,10.81,76,0,12.35,AR,1706325424
12,yellowknife,62.456,-114.3525,-20.88,86,100,2.57,CA,1706325543
13,pucheng,27.9233,118.5333,3.24,87,100,0.39,CN,1706325631
14,susaki,33.3667,133.2833,12.04,39,0,0.81,JP,1706325631
15,constantia,44.1833,28.65,-0.62,75,54,3.9,RO,1706325632
16,luderitz,-26.6481,15.1594,19.09,75,0,3.04,NA,1706325632
17,port-aux-francais,-49.35,70.2167,7.37,91,100,14.82,TF,1706325633
18,edinburgh of the seven seas,-37.0676,-12.3116,17.04,85,27,6.8,SH,1706325634
19,blackmans bay,-43.0167,147.3167,21.07,60,35,7.39,AU,1706325635
20,puerto natales,-51.7236,-72.4875,7.95,69,74,5.93,CL,1706325636
21,westport,41.1415,-73.3579,6.46,88,100,2.06,US,1706325478
22,utrik,11.2278,169.8474,25.5,60,100,3.91,MH,1706325637
23,tiksi,71.6872,128.8694,-27.62,96,100,4.79,RU,1706325637
24,puerto ayora,-0.7393,-90.3518,25.86,96,46,0.45,EC,1706325637
25,klyuchi,52.2667,79.1667,-13.86,92,16,3.23,RU,1706325638
26,chonchi,-42.6128,-73.8092,16.29,93,100,1.09,CL,1706325638
27,geraldton,-28.7667,114.6,35.23,24,0,3.6,AU,1706325638
28,ploneour-lanvern,47.9,-4.2833,4.16,93,0,2.57,FR,1706325639
29,agra,27.1833,78.0167,7.03,100,37,1.03,IN,1706325639
30,adamstown,-25.066,-130.1015,24.57,71,100,2.81,PN,1706325639
31,waitangi,-43.9535,-176.5597,18.23,81,47,1.79,NZ,1706325640
32,lampang,18.3333,99.5,23.81,69,40,1.54,TH,1706325640
33,cabo san lucas,22.8909,-109.9124,21.95,69,0,1.03,MX,1706325220
34,rundu,-17.9333,19.7667,20.55,56,99,2.33,NA,1706325641
35,severobaykal'sk,55.65,109.3167,-14.72,85,84,0.86,RU,1706325394
36,guerrero negro,27.9769,-114.0611,19.47,51,100,1.47,MX,1706325641
37,colonia,50.9333,6.95,3.79,82,0,1.54,DE,1706325642
38,conduaga,8.862,117.4893,28.99,60,16,2.13,PH,1706325642
39,avarua,-21.2078,-159.775,29.03,84,40,2.06,CK,1706325643
40,kuta,-8.7233,115.1723,28.97,79,20,3.13,ID,1706325643
41,margate,51.3813,1.3862,4.27,79,92,0.89,GB,1706325644
42,kingscliff,-28.2667,153.5667,33.76,74,75,3.6,AU,1706325644
43,al qusayr,34.5091,36.5798,5.29,74,1,1.88,SY,1706325644
44,kone,-21.0595,164.8658,31.37,51,63,2.78,NC,1706325645
45,budva,42.2864,18.84,5.14,93,0,0.51,ME,1706325645
46,whitehorse,60.7161,-135.0538,-19.57,84,100,2.06,CA,1706325645
47,masterton,-40.9597,175.6575,22.83,49,76,6.49,NZ,1706325646
48,talnakh,69.4865,88.3972,-12.66,90,100,7.42,RU,1706325646
49,ballina,-28.8667,153.5667,29.32,79,99,3.91,AU,1706325646
50,ola,59.5833,151.2833,-18.81,78,100,3.36,RU,1706325647
51,nyurba,63.2842,118.3319,-35.97,99,100,1.2,RU,1706325647
52,el fasher,13.6279,25.3494,12.26,33,88,3.01,SD,1706325647
53,san nicolas de bari,22.7844,-81.9133,21.6,87,36,2.04,CU,1706325648
54,bodaybo,57.8506,114.1933,-21.53,95,99,1.16,RU,1706325648
55,saint-philippe,-21.3585,55.7679,25.77,88,68,3.68,RE,1706325648
56,portland,45.5234,-122.6762,10.16,94,100,10.29,US,1706325580
57,antsiranana,-12.2787,49.2917,23.42,94,20,2.06,MG,1706325649
58,saipan,15.1355,145.701,24.39,88,100,8.75,MP,1706325649
59,adler,43.43,39.92,4.09,80,75,5.0,RU,1706325650
60,thompson,55.7435,-97.8558,-5.91,100,100,2.57,CA,1706325650
61,muncar,-8.4333,114.3333,27.26,83,98,0.52,ID,1706325651
62,odda,60.0691,6.5457,7.65,99,100,3.56,NO,1706325651
63,taitung city,22.7583,121.1444,23.15,53,75,2.57,TW,1706325651
64,vila velha,-20.3297,-40.2925,24.97,90,75,4.02,BR,1706325652
65,bethel,41.3712,-73.414,5.76,87,100,0.82,US,1706325559
66,port elizabeth,-33.918,25.5701,21.17,91,40,4.12,ZA,1706325652
67,lihue,21.9789,-159.3672,26.77,55,0,6.17,US,1706325653
68,iqaluit,63.7506,-68.5145,-33.15,56,0,3.09,CA,1706325653
69,atafu village,-8.5421,-172.5159,29.55,71,100,4.07,TK,1706325653
70,stanley,54.868,-1.6985,6.27,88,75,4.12,GB,1706325654
71,inongo,-1.95,18.2667,24.47,72,89,1.27,CD,1706325654
72,askoy,60.4092,5.226,6.16,100,75,6.17,NO,1706325654
73,kodiak,57.79,-152.4072,-6.27,63,100,6.17,US,1706325655
74,velyka lepetykha,47.1757,33.9436,0.59,91,100,2.74,UA,1706325655
75,morehead city,34.7229,-76.726,18.9,89,100,5.14,US,1706325655
76,fayzabad,37.1166,70.58,3.99,54,100,4.47,AF,1706325656
77,lazaro cardenas,17.9583,-102.2,23.45,82,0,1.36,MX,1706325642
78,amahai,-3.3333,128.9167,31.08,57,100,0.9,ID,1706325656
79,kudahuvadhoo,2.6708,72.8944,27.95,65,100,7.29,MV,1706325657
80,hotan,37.0997,79.9269,-3.62,44,93,0.41,CN,1706325657
81,mankato,44.1636,-93.9994,2.75,97,100,1.54,US,1706325657
82,mahibadhoo,3.7833,72.9667,27.87,68,95,7.52,MV,1706325657
83,anan,33.9167,134.65,9.88,50,5,6.53,JP,1706325658
84,rio grande,-32.035,-52.0986,22.13,68,100,6.51,BR,1706325658
85,bangassou,4.7413,22.8184,18.31,43,46,1.33,CF,1706325658
86,bredasdorp,-34.5322,20.0403,18.87,91,45,1.77,ZA,1706325659
87,west island,-12.1568,96.8225,28.99,84,75,2.06,CC,1706325659
88,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,81,20,5.0,RU,1706325659
89,ketchikan,55.3422,-131.6461,9.26,93,100,9.77,US,1706325660
90,bermeo,43.4209,-2.7215,11.24,84,97,2.98,ES,1706325660
91,bikin,46.8161,134.26,-13.48,83,61,0.47,RU,1706325660
92,mangrol,21.1167,70.1167,19.57,43,97,5.46,IN,1706325661
93,hawaiian paradise park,19.5933,-154.9731,26.04,78,75,2.57,US,1706325552
94,new norfolk,-42.7826,147.0587,21.72,66,76,5.62,AU,1706325661
95,albany,42.6001,-73.9662,4.24,85,100,2.18,US,1706325529
96,mejit,10.2753,170.8646,25.37,70,100,4.57,MH,1706325662
97,lebu,-37.6167,-73.65,14.47,94,8,3.81,CL,1706325662
98,fort bragg,35.139,-79.006,19.9,89,0,0.0,US,1706325662
99,wajir,1.7471,40.0573,24.98,78,0,2.06,KE,1706325663
100,isafjordur,66.0755,-23.124,-3.13,86,83,4.88,IS,1706325615
101,san patricio,28.017,-97.5169,17.05,91,99,3.65,US,1706325664
102,newman,37.3138,-121.0208,14.6,85,100,0.89,US,1706325589
103,forster,-32.1667,152.5167,24.6,80,100,2.82,AU,1706325664
104,punta arenas,-53.15,-70.9167,9.06,66,0,10.8,CL,1706325664
105,baikonur,45.6167,63.3167,-10.3,74,89,5.06,KZ,1706325665
106,kirklareli,41.7351,27.2252,1.32,82,24,0.84,TR,1706325392
107,chanute,37.6792,-95.4572,4.06,87,100,3.6,US,1706325665
108,hasaki,35.7333,140.8333,9.22,42,4,1.04,JP,1706325666
109,meadow lakes,61.6247,-149.6011,-15.21,78,75,0.0,US,1706325666
110,nadym,65.5333,72.5167,-11.9,93,100,4.1,RU,1706325666
111,port mathurin,-19.6833,63.4167,27.7,81,100,2.12,MU,1706325667
112,baruun-urt,46.6806,113.2792,-20.22,88,5,4.51,MN,1706325667
113,jamestown,42.097,-79.2353,2.77,100,100,0.45,US,1706325652
114,flying fish cove,-10.4217,105.6791,28.82,69,100,2.06,CX,1706325668
115,chernyshevsk,52.5243,117.0174,-20.54,93,93,0.29,RU,1706325668
116,palm valley,30.1775,-81.3876,21.11,91,55,1.25,US,1706325668
117,vorgashor,67.5833,63.95,-12.42,96,97,3.03,RU,1706325669
118,bayindir,38.2174,27.6474,1.75,86,5,2.82,TR,1706325669
119,kargasok,59.0556,80.8572,-10.58,97,100,2.68,RU,1706325669
120,christchurch,-43.5333,172.6333,29.11,18,0,7.72,NZ,1706325606
